ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,8751,1739356245598,0.00479,-1.84576,10.19911,0.96128,1.831,-17.31059
Abj,8752,1739356245617,0.00479,-1.84576,10.19911,0.53404,3.05167,-17.55472
Abj,8753,1739356245633,0.46959,-2.13559,10.41925,0.77818,3.17373,-17.55472
Abj,8754,1739356245645,0.4334,-2.49242,9.88744,-1.05283,3.96717,-18.04299
Abj,8755,1739356245662,-0.00479,-2.31745,10.19432,0.35094,1.831,-18.53125
Abj,8756,1739356245682,-0.00957,-2.41346,9.96431,-0.62559,2.07513,-18.95849
Abj,8757,1739356245698,0.28026,-2.36291,9.92603,0.90024,0.48827,-19.01952
Abj,8758,1739356245718,0.28026,-2.36291,9.92603,0.35094,0.42723,-19.26365
Abj,8759,1739356245728,0.37358,-2.2672,9.83241,0.47301,1.15963,-18.83642
Abj,8760,1739356245745,0.35204,-2.42303,9.74866,1.57161,1.15963,-18.89745
Abj,8761,1739356245764,0.05982,-2.40868,9.61197,1.02231,2.86857,-19.44675
Abj,8762,1739356245782,0.1651,-2.07308,9.68645,0.35094,-1.58687,-19.08055
Abj,8763,1739356245811,0.40708,-1.96062,9.46122,0.71714,0.24413,-18.95849
Abj,8764,1739356245828,0.07178,-2.15234,9.47318,1.93781,2.0141,-18.53125
Abj,8765,1739356245835,0.07178,-2.15234,9.47318,-0.44249,-0.3662,-18.65332
Abj,8766,1739356245845,0.20608,-2.52832,9.02991,0.16784,-0.5493,-18.16505
Abj,8767,1739356245863,0.32812,-1.89841,9.64068,-1.11386,-1.4648,-17.43265
Abj,8768,1739356245881,0.29222,-2.35334,9.42533,-0.25939,-0.61033,-17.49368
Abj,8769,1739356245906,0.28504,-2.54746,9.22403,2.54814,-0.06103,-17.61575
Abj,8770,1739356245916,0.28504,-2.54746,9.22403,0.53404,-1.52583,-17.12749
Abj,8771,1739356245931,0.10289,-1.84816,9.86351,-0.32043,-3.90613,-16.70025
Abj,8772,1739356245946,0.34965,-2.20259,10.29243,0.96128,0.61033,-16.02888
Abj,8773,1739356245964,0.33529,-2.71047,9.77019,2.30401,0.1831,-15.35752
Abj,8774,1739356245988,0.38554,-2.49003,9.54497,2.97538,1.0986,-15.41855
Abj,8775,1739356246005,0.09093,-2.19541,10.39293,3.58571,1.52583,-15.29648
Abj,8776,1739356246013,0.09093,-2.19541,10.39293,1.99884,-2.07513,-14.13685
Abj,8777,1739356246030,0.17707,-2.11884,10.13899,0.22888,-0.61033,-14.25892
Abj,8778,1739356246048,0.21087,-1.93669,10.07199,-1.17489,-0.67137,-12.67205
Abj,8779,1739356246064,0.28744,-2.00848,9.72473,-0.32043,3.05167,-12.61102
Abj,8780,1739356246085,0.08614,-2.57617,9.5019,1.57161,5.06577,-12.61102
Abj,8781,1739356246098,0.08614,-2.57617,9.5019,-0.07629,1.89203,-12.00068
Abj,8782,1739356246114,-0.04546,-2.16431,9.92603,0.47301,2.7465,-11.93965
