ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,8751,1739356244165,1.566,-1.395,10.41795,1.7332,1.67017,1.12658
HS,8752,1739356244181,-2.14395,-1.54605,8.493,0.54359,1.81198,1.05567
HS,8753,1739356244190,-2.14395,-1.54605,8.493,-0.65389,-0.70904,0.49632
HS,8754,1739356244210,-0.138,-3.588,9.97905,0.60662,1.67017,0.56723
HS,8755,1739356244228,-0.34095,-0.99495,9.852,0.60662,5.23898,0.98477
HS,8756,1739356244244,-0.67905,-2.06595,8.904,3.12763,2.30043,-0.06303
HS,8757,1739356244262,0.45,-1.75005,10.65,3.19854,5.45169,1.19748
HS,8758,1739356244279,-0.97095,-1.60605,9.55305,1.7332,5.30989,0.77206
HS,8759,1739356244291,0.86205,-1.74705,9.651,1.66229,6.84613,0.98477
HS,8760,1739356244314,-1.49805,-1.73505,10.032,2.00893,4.46692,0.84296
HS,8761,1739356244332,-0.84405,-2.47005,10.20405,2.15074,3.90757,0.77206
HS,8762,1739356244342,-0.84405,-2.47005,10.20405,2.36345,5.02627,0.35452
HS,8763,1739356244358,0.438,-2.154,10.06995,2.56828,5.23898,0.00788
HS,8764,1739356244377,-1.30095,-1.74495,9.99105,1.23687,3.41913,-0.27574
HS,8765,1739356244395,0.13395,-0.66705,8.799,0.81933,-0.29149,-0.69328
HS,8766,1739356244411,-0.68595,-1.62495,9.71595,-1.00053,3.27732,-1.0478
HS,8767,1739356244428,-1.84695,-2.83395,10.28295,-2.26103,4.19119,-1.46534
HS,8768,1739356244446,-1.84695,-2.83395,10.28295,-0.92962,4.12028,-1.0478
HS,8769,1739356244458,0.22305,-2.88705,9.41895,-0.02363,4.75054,-1.46534
HS,8770,1739356244485,-0.95895,-0.66,9.31395,-0.58298,3.63184,-2.30043
HS,8771,1739356244492,-0.31695,-3.10695,9.603,-0.08666,3.00158,-2.02469
HS,8772,1739356244506,-0.41595,-1.113,9.53205,-0.22847,6.49949,-2.09559
HS,8773,1739356244525,-0.65295,-0.88005,10.02705,0.25998,6.28678,-2.30043
HS,8774,1739356244545,-0.09495,-3.00705,8.895,0.81933,3.27732,-2.44223
HS,8775,1739356244561,-0.86595,-2.33595,9.40695,0.74843,8.8787,-2.93068
HS,8776,1739356244575,-0.86595,-2.33595,9.40695,1.86713,2.78887,-3.00158
HS,8777,1739356244593,-1.56495,-1.35705,11.145,3.12763,6.7122,-2.93068
HS,8778,1739356244607,-0.77895,-2.343,8.787,0.81933,6.91703,-3.98635
HS,8779,1739356244627,1.12995,-0.222,9.84795,-1.77259,5.5935,-4.26209
HS,8780,1739356244645,-0.993,-1.84095,9.90795,-2.33194,4.04938,-3.63184
