ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,8251,1739356468867,-2.223,-2.60205,9.83805,2.29255,-1.33929,2.25316
HS,8252,1739356468883,-1.05,-0.48495,10.23105,0.60662,-0.91387,2.31618
HS,8253,1739356468898,-0.47505,-1.407,8.81295,2.71009,-6.23951,2.45799
HS,8254,1739356468914,-0.351,-0.66495,10.73805,0.96114,-2.73372,2.38709
HS,8255,1739356468931,-0.351,-0.66495,10.73805,1.10294,-3.43488,2.18225
HS,8256,1739356468945,-0.92295,-0.70995,9.99405,1.93803,-0.07878,2.31618
HS,8257,1739356468962,-0.84705,-0.876,9.36195,3.41125,-1.89864,2.5998
HS,8258,1739356468977,-1.32795,0.174,10.87005,-0.65389,-5.53835,1.96954
HS,8259,1739356468995,-0.89205,-1.21605,8.95695,-1.48897,-4.34875,1.68593
HS,8260,1739356469011,-0.72405,-1.872,9.19395,-0.58298,-6.58615,2.04045
HS,8261,1739356469027,-0.72405,-1.872,9.19395,-1.00053,-6.51525,1.82774
HS,8262,1739356469049,-0.83205,0,11.18895,-2.89129,-1.05567,2.11135
HS,8263,1739356469061,0.57705,-2.66895,9.228,-1.63078,-4.979,1.68593
HS,8264,1739356469068,-0.492,-0.495,10.35495,-1.00053,-3.50579,2.18225
HS,8265,1739356469084,-1.06005,-0.04695,9.915,-0.37027,-2.31618,2.04045
HS,8266,1739356469101,-1.06005,-0.04695,9.915,-1.63078,-1.05567,2.52889
HS,8267,1739356469125,-1.69905,-2.394,9.852,-2.26103,-2.73372,3.30095
HS,8268,1739356469140,-1.69905,-2.394,9.852,-1.07143,-0.77994,3.15915
HS,8269,1739356469158,-1.57005,-0.71805,9.55095,-2.19013,-4.55358,3.8603
HS,8270,1739356469175,-0.23805,-0.82095,9.666,-1.97742,-3.99423,3.57669
HS,8271,1739356469194,-1.287,-2.09205,9.80205,-0.51208,-3.43488,4.34875
HS,8272,1739356469214,-1.25805,-1.48095,9.49095,-0.85872,-3.7185,4.76629
HS,8273,1739356469231,-1.51905,0.07905,9.582,-1.34717,-1.96954,4.9081
