ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,6251,1739352275456,0.1008,-2.12901,10.71446,4.37151,0.82395,2.93723
RV,6252,1739352275477,-0.93529,-1.83948,9.71905,4.26471,0.49971,2.57103
RV,6253,1739352275492,-0.93529,-1.83948,9.71905,6.18726,-0.67137,2.60536
RV,6254,1739352275508,0.74207,-0.15733,10.50868,16.86428,-4.25326,7.98011
RV,6255,1739352275524,0.54826,-0.95653,11.3701,19.4582,-4.66524,8.77736
RV,6256,1739352275545,0.02183,-1.73898,9.55873,15.17823,-4.64235,5.50826
RV,6257,1739352275558,-0.68883,-1.78205,9.91526,12.31348,-5.79435,3.78407
RV,6258,1739352275573,-0.68883,-1.78205,9.91526,9.9904,-6.40087,2.09039
RV,6259,1739352275591,-0.27727,-2.89472,9.71905,7.75505,-4.26471,-0.10681
RV,6260,1739352275608,-0.54048,-1.45902,10.16411,6.11859,-2.88764,-1.4114
RV,6261,1739352275624,-0.98554,-0.99721,10.37229,4.7072,-1.92255,-2.33453
RV,6262,1739352275647,0.11994,-2.87797,8.99163,3.17373,4.71101,-4.74534
RV,6263,1739352275660,0.02901,-1.10728,9.85783,0.89643,8.32724,-6.63356
RV,6264,1739352275676,-0.29163,-1.6337,9.75973,-2.54814,7.22864,-5.82487
RV,6265,1739352275690,-0.29163,-1.6337,9.75973,-4.49358,6.22159,-3.28054
RV,6266,1739352275708,0.28504,-2.33958,9.39602,-4.96659,5.37856,-2.15524
RV,6267,1739352275725,-0.05952,-2.01177,10.19043,-6.48861,3.85654,-1.64027
RV,6268,1739352275742,-0.07388,-2.27498,10.21915,-11.74129,-0.47682,-3.09363
RV,6269,1739352275759,0.66072,-2.04287,10.5685,-14.9074,-9.94462,-2.0408
RV,6270,1739352275777,0.66072,-2.04287,10.5685,-12.54235,-14.175,0.7324
RV,6271,1739352275797,0.19172,-1.99262,9.92483,-9.95988,-12.53473,2.26205
RV,6272,1739352275811,-0.09541,-0.52822,10.25265,-7.28967,-10.10484,2.07513
RV,6273,1739352275823,0.48126,-1.7653,9.6353,-5.53878,-8.49889,1.65934
RV,6274,1739352275841,-0.4998,-2.01177,9.82912,-1.81193,-6.63356,1.11004
RV,6275,1739352275858,-0.65294,-1.41356,9.56351,2.31927,-4.6805,1.26263
RV,6276,1739352275875,1.17757,-4.2993,9.46062,5.67229,-3.12415,2.09421
