ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,2501,1739355108172,0.96042,1.38126,10.77398,4.92844,-0.67137,-2.67021
Abj,2502,1739355108185,0.45254,-0.34128,9.02991,0.90024,6.2254,-3.34158
Abj,2503,1739355108206,1.24546,-0.21655,9.82044,-4.47069,16.89861,-2.79228
Abj,2504,1739355108213,0.42861,-0.96162,9.65055,-5.14206,-0.06103,-2.60918
Abj,2505,1739355108231,0.83839,-2.49482,9.95474,-4.53173,4.45543,-3.70778
Abj,2506,1739355108248,0.83839,-2.49482,9.95474,-8.25476,-2.1972,-3.64674
Abj,2507,1739355108265,0.39511,-2.08265,10.03131,0.53404,1.831,-4.07398
Abj,2508,1739355108282,0.36879,-4.10698,8.76401,0.16784,9.94844,-2.48711
Abj,2509,1739355108299,1.27687,-1.94387,10.25175,4.62328,-15.50247,-3.52468
Abj,2510,1739355108314,0.73041,-1.73539,9.70798,-1.84626,10.00947,-5.23361
