ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,2251,1739354620778,0.61406,-1.91635,9.67089,28.57887,0.24032,-6.78996
Ak,2252,1739354620795,0.07807,-6.67089,7.50778,29.51726,-2.09421,-5.85539
Ak,2253,1739354620814,0.79591,0.67747,10.30499,-13.12217,-8.2128,0.33568
Ak,2254,1739354620830,0.79591,0.67747,10.30499,-18.98519,0.69044,-4.08923
Ak,2255,1739354620847,-2.07547,0.56979,11.59233,-16.86428,0.80106,-4.85215
Ak,2256,1739354620866,0.68106,-0.94965,8.12034,-6.51913,4.11594,-8.70107
Ak,2257,1739354620885,0.10199,-0.52612,10.21406,-4.27234,5.25268,-10.75331
Ak,2258,1739354620900,0.81027,-2.45952,7.41446,-2.45278,7.03409,-12.92
Ak,2259,1739354620913,-1.87208,-1.14826,7.99592,-2.46422,7.38504,-13.45404
Ak,2260,1739354620934,-1.4342,-2.52174,10.55863,40.00737,17.32203,-20.78949
Ak,2261,1739354620951,-1.4342,-2.52174,10.55863,45.14561,3.49797,-14.38098
Ak,2262,1739354620964,0.4681,-1.15783,10.29542,35.48708,5.18402,-14.19407
Ak,2263,1739354620979,1.04716,0.06491,9.64218,2.15524,3.77262,-10.79528
Ak,2264,1739354620994,-0.57039,-1.46172,10.78834,0.3395,3.41024,-9.95607
Ak,2265,1739354621012,0.4011,-2.7993,10.06092,-3.83366,2.7465,-8.12125
Ak,2266,1739354621032,0.10917,-1.87807,10.44856,-8.58282,0.679,-6.08426
Ak,2267,1739354621049,0.10917,-1.87807,10.44856,-8.33868,-3.52849,-3.78407
Ak,2268,1739354621065,0.28146,-1.366,9.93649,-5.61888,-4.06635,-3.82984
Ak,2269,1739354621082,0.42024,-1.57657,7.72553,-3.62767,-5.596,-4.17697
Ak,2270,1739354621102,-0.07986,0.1319,9.65175,-3.55901,-5.0734,-5.47011
Ak,2271,1739354621116,-0.54885,0.31854,11.56122,-3.0593,-3.71541,-6.28644
Ak,2272,1739354621132,-1.21645,-1.77039,9.67089,2.3536,-2.13235,-7.02647
Ak,2273,1739354621151,-1.21645,-1.77039,9.67089,11.9778,-2.17813,-5.97745
Ak,2274,1739354621167,0.1666,-2.95005,8.48405,15.04472,-1.13293,-5.76384
Ak,2275,1739354621182,0.98734,-4.08425,10.70698,6.75181,4.3677,-6.57634
Ak,2276,1739354621198,0.39631,-2.19392,8.68026,-16.95964,8.03352,-6.18726
Ak,2277,1739354621214,-1.12792,-1.15304,10.7357,-20.07616,7.7932,-5.19928
Ak,2278,1739354621228,-1.12792,-1.15304,10.7357,-23.98993,5.35186,-2.37267
Ak,2279,1739354621246,-2.39372,-0.31795,8.14427,-27.08737,4.16934,-1.35036
Ak,2280,1739354621267,-1.01545,-0.44477,11.07309,-31.10412,4.07779,-1.54872
Ak,2281,1739354621282,0.51835,-2.40449,8.45055,-20.33937,3.81458,-2.04462
Ak,2282,1739354621301,-0.28804,0.2659,8.4697,-15.65887,2.96012,-1.71275
Ak,2283,1739354621316,0.31017,-1.48564,10.07289,17.82174,3.62767,-3.15085
Ak,2284,1739354621337,-0.41007,-2.1676,9.98196,39.93107,-5.77528,0.4959
Ak,2285,1739354621350,-0.41007,-2.1676,9.98196,30.44802,-4.1579,0.56837
Ak,2286,1739354621365,0.31017,-3.22523,8.52952,24.46675,-2.46422,0.09918
Ak,2287,1739354621383,0.52313,0.65593,9.90539,14.77007,-0.62941,-0.17166
Ak,2288,1739354621400,-0.96999,-2.90937,9.48186,-0.04196,-0.7591,0.35476
Ak,2289,1739354621416,-0.66849,-2.5672,10.45574,-8.0297,0.82395,-0.18691
Ak,2290,1739354621428,-0.66849,-2.5672,10.45574,-22.29625,0.56837,-1.21685
Ak,2291,1739354621445,0.29821,-1.90439,9.9006,-31.0202,2.70073,-2.88001
Ak,2292,1739354621465,-0.68046,-0.88983,8.57737,-29.59736,3.08218,-4.55843
Ak,2293,1739354621481,-2.38654,-0.93769,10.52752,-19.48871,2.407,-4.37151
Ak,2294,1739354621498,-1.14945,0.45733,10.70938,-10.0171,1.69749,-3.34921
Ak,2295,1739354621516,-2.17119,-1.90917,10.43659,-3.95954,1.72801,-3.18136
Ak,2296,1739354621532,-1.60648,-1.94985,10.32892,16.27302,1.04901,-3.06311
Ak,2297,1739354621548,-1.60648,-1.94985,10.32892,33.03431,0.3929,-3.00971
Ak,2298,1739354621568,1.95643,-2.20828,11.17837,33.67134,0.74003,-3.23858
Ak,2299,1739354621581,2.4326,-2.92612,7.68485,26.61436,0.85447,-3.765
Ak,2300,1739354621596,-0.95803,-2.2322,11.87947,20.39658,0.74766,-3.72303
Ak,2301,1739354621619,-1.98694,-3.83061,8.49362,-1.67842,-2.94104,-2.17431
Ak,2302,1739354621632,-0.29521,-2.29203,9.9006,-17.38306,-4.60802,-0.9422
Ak,2303,1739354621647,-0.29521,-2.29203,9.9006,-62.1701,-4.19604,0.87735
Ak,2304,1739354621662,-0.49621,0.89282,10.17099,-52.04238,-10.19257,3.69252
Ak,2305,1739354621679,0.19531,0.82104,10.36002,-34.79283,-7.90763,1.61357
Ak,2306,1739354621693,0.73609,0.75643,7.2996,-18.88601,-3.12033,-1.58305
Ak,2307,1739354621715,0.82463,-1.38993,9.92692,13.85457,1.63646,-5.93931
Ak,2308,1739354621732,0.82463,-1.38993,9.92692,33.97651,2.12472,-7.70165
Ak,2309,1739354621750,1.13569,-3.24437,9.30479,29.83005,1.62501,-8.22043
Ak,2310,1739354621764,-0.11815,-1.47607,10.69741,36.99384,1.42284,-8.49127
Ak,2311,1739354621782,-0.83839,-4.86192,9.96282,30.90195,0.46919,-6.92729
Ak,2312,1739354621802,-0.58714,-1.31336,10.17578,-25.98495,-2.1705,-2.09802
Ak,2313,1739354621815,0.57099,0.30179,11.06112,-25.83237,-0.99179,-2.14761
Ak,2314,1739354621831,0.88205,-0.39691,7.3331,-21.35405,3.4255,-3.81458
Ak,2315,1739354621853,0.88205,-0.39691,7.3331,-11.13477,0.86973,-2.55577
Ak,2316,1739354621866,-1.57298,-2.10299,9.81685,-9.4411,0.81632,-2.74269
Ak,2317,1739354621881,0.10439,-3.28505,7.31396,-5.34805,1.02994,-3.96717
Ak,2318,1739354621899,0.69063,-3.94786,10.35763,-5.74095,-1.42284,-3.61623
Ak,2319,1739354621912,0.2671,0.17258,10.01546,-6.96543,1.89203,-8.16321
Ak,2320,1739354621930,0.2671,0.17258,10.01546,1.72038,2.64732,-10.43289
Ak,2321,1739354621948,-2.78136,-1.7656,11.0013,0.59126,2.68165,-10.73043
Ak,2322,1739354621964,-1.91516,-1.06211,11.05873,-0.17166,2.72743,-10.36804
Ak,2323,1739354621983,1.58076,-2.27288,9.97957,-3.42931,10.66939,-12.90474
Ak,2324,1739354621999,-0.24018,-2.48345,9.27608,-2.23916,5.80961,-9.10923
Ak,2325,1739354622014,1.01127,-2.67727,9.39572,-0.11444,5.03144,-8.16703
