ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,2251,1739354621283,-0.66195,-0.126,9.615,-0.58298,-6.95642,-5.38079
HS,2252,1739354621298,-1.41405,-2.097,9.72105,-10.31252,-5.2705,-5.87711
HS,2253,1739354621305,-1.41405,-2.097,9.72105,-13.5347,-4.43541,-5.5226
HS,2254,1739354621327,-1.392,-5.29995,6.97005,-0.72479,-5.69592,-5.03415
HS,2255,1739354621345,-3.55695,-4.491,11.28405,11.03732,3.19854,-3.49003
HS,2256,1739354621363,-1.07895,-0.00405,10.212,9.5641,2.42648,-5.17596
HS,2257,1739354621378,0.22005,2.169,9.13395,4.03362,9.91862,-2.37133
HS,2258,1739354621395,0.22005,2.169,9.13395,1.65442,6.42071,-4.67963
HS,2259,1739354621410,-2.319,-1.077,10.05405,-1.84349,1.93803,-3.98635
HS,2260,1739354621428,-1.99305,-0.78705,6.44805,-4.50631,-1.70168,-3.00158
HS,2261,1739354621442,-0.60705,-1.82595,10.06995,0.11817,-3.23793,-4.5457
HS,2262,1739354621460,1.04595,-2.22795,8.46405,2.07196,-13.32199,-4.61661
HS,2263,1739354621477,0.01905,-0.696,10.614,4.87659,-7.01945,-4.19119
HS,2264,1739354621491,-0.61395,-0.789,10.362,3.26944,-4.00999,-5.45169
HS,2265,1739354621510,-0.61395,-0.789,10.362,1.16597,1.44958,-4.26209
HS,2266,1739354621526,-0.37995,0.16005,9.237,-3.52154,-1.77259,-4.4748
HS,2267,1739354621543,-0.99,-1.374,10.614,-4.08089,1.59139,-4.26209
HS,2268,1739354621560,-0.86295,-2.50905,10.13505,-2.12711,-0.85872,-3.98635
HS,2269,1739354621577,-0.255,-1.28805,10.58805,-1.07143,-1.9144,-3.3561
HS,2270,1739354621592,-0.126,-1.47405,9.86205,-1.49685,-1.9144,-2.65494
HS,2271,1739354621609,0.10995,-1.206,8.1,6.06619,-5.4123,-1.53624
HS,2272,1739354621628,0.10995,-1.206,8.1,2.91492,-0.37027,-2.51314
HS,2273,1739354621644,-1.35705,1.08705,9.888,-4.43541,-4.2227,-3.41913
HS,2274,1739354621661,-0.909,-0.32295,11.53095,-10.94278,2.35557,-2.1665
HS,2275,1739354621676,-3.07605,-0.82305,8.598,-13.88134,-3.23793,-3.63184
HS,2276,1739354621693,-1.929,-3.102,9.9,-12.5578,3.54518,-2.93068
HS,2277,1739354621711,-0.171,-3.50505,9.984,0.2521,-9.12292,-3.49003
HS,2278,1739354621726,-3.18105,-3.87795,9.99105,5.0893,5.50684,-2.37133
HS,2279,1739354621742,-2.02695,-0.23205,11.53305,3.61608,3.41125,-3.21429
HS,2280,1739354621760,-2.02695,-0.23205,11.53305,4.24633,6.3498,-1.81198
HS,2281,1739354621777,-1.14795,0.684,8.70795,0.18908,0.18908,-1.67017
HS,2282,1739354621793,1.839,-1.28805,10.81305,1.30778,9.00475,-3.70274
HS,2283,1739354621809,-1.54095,0.684,9.24705,-1.00053,0.81933,-2.79675
HS,2284,1739354621825,-1.182,-1.83795,8.66505,-1.9853,-0.51208,-2.44223
HS,2285,1739354621842,-0.351,1.24695,8.16495,-0.72479,-4.43541,-1.32353
HS,2286,1739354621859,-1.419,-1.99395,9.78795,-6.04256,-2.19013,-1.88288
HS,2287,1739354621876,-1.419,-1.99395,9.78795,-7.30306,-2.19013,-3.14339
HS,2288,1739354621893,-2.43405,-1.707,8.83995,-1.56776,-5.97165,-2.51314
HS,2289,1739354621908,-0.49695,-1.96005,8.883,-0.23635,-1.00053,-3.00158
HS,2290,1739354621926,-0.744,-0.80895,8.976,-0.37815,-0.8666,-3.56093
HS,2291,1739354621941,-0.02505,-3.936,10.23795,-1.49685,0.81933,-3.14339
HS,2292,1739354621957,-1.158,-1.51695,10.137,5.15232,4.45904,-2.02469
HS,2293,1739354621976,0.06,-1.60605,10.08195,5.36503,2.00893,-2.09559
HS,2294,1739354621992,-2.13495,-0.52605,8.74905,9.7059,8.24057,-0.76418
HS,2295,1739354622011,-2.13495,-0.52605,8.74905,6.34193,7.4685,-1.11082
HS,2296,1739354622025,-1.89495,0.18195,10.09905,4.59297,3.40337,-1.81198
HS,2297,1739354622043,-2.616,0.222,10.32405,-0.30725,1.86713,-0.97689
HS,2298,1739354622058,-4.09305,-1.491,10.55895,-3.104,-5.2705,-1.60715
HS,2299,1739354622076,-3.15,-1.72605,9.819,-6.531,2.28467,-2.02469
HS,2300,1739354622092,1.57095,-2.86305,10.68795,-9.47744,-16.47325,-4.12028
HS,2301,1739354622108,1.221,-2.085,7.80795,-4.71115,-12.47902,-1.67017
HS,2302,1739354622126,1.221,-2.085,7.80795,-3.66335,-9.33563,-5.5935
HS,2303,1739354622147,-1.776,-1.69905,11.82105,-0.09454,-4.36451,-4.4748
HS,2304,1739354622155,-2.92005,-3.126,8.904,8.86294,-2.74948,-4.33299
HS,2305,1739354622174,-2.18505,-3.378,9.237,13.48743,5.29413,-2.58404
HS,2306,1739354622187,-0.94905,-0.11205,10.473,7.95695,8.93384,-2.37133
HS,2307,1739354622205,-1.78005,0.51405,10.76505,2.21377,8.30359,-2.86765
HS,2308,1739354622224,-0.471,0.08295,6.49095,1.65442,11.38396,-2.37133
HS,2309,1739354622241,-1.26795,0.15,10.37205,-1.9144,-3.93909,-3.21429
HS,2310,1739354622258,-1.26795,0.15,10.37205,-3.52154,2.00893,-4.33299
HS,2311,1739354622273,-1.93605,-1.00305,7.94895,-7.72061,-16.33145,-3.84455
HS,2312,1739354622291,-2.178,-2.985,11.61195,-7.51577,-2.33194,-3.427
HS,2313,1739354622307,-0.183,-3.79005,10.39605,-2.68646,-1.35505,-3.84455
