ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1251,1739358917538,-0.14148,-2.91416,10.04806,1.51058,-5.6761,1.96833
Abj,1252,1739358917556,-0.05264,-2.25524,9.85155,0.59508,1.89203,1.60213
Abj,1253,1739358917573,-0.12473,-1.49103,9.97388,0.16784,-1.831,1.35799
Abj,1254,1739358917590,-0.17258,-1.43121,8.9007,-2.27349,-0.06103,0.86973
Abj,1255,1739358917608,-0.06221,-1.78564,8.75444,-3.43313,3.2958,0.86973
Abj,1256,1739358917631,0,-2.41346,9.92363,-3.98243,4.9437,0.13733
Abj,1257,1739358917645,0,-2.41346,9.92363,-2.02936,-3.90613,0.19836
Abj,1258,1739358917662,-0.34277,-3.74537,10.47937,0.53404,-3.8451,-0.22888
Abj,1259,1739358917679,-0.11994,-2.83729,10.27568,0.77818,-1.40377,-0.77818
Abj,1260,1739358917689,-0.00718,-1.08634,10.20389,-2.76176,-4.27234,-0.77818
Abj,1261,1739358917702,-0.00718,-1.08634,10.20389,-3.61623,0,-0.77818
Abj,1262,1739358917722,0.05743,-1.37856,10.57987,-6.66789,42.10539,-1.02231
Abj,1263,1739358917741,0.22283,-3.16062,9.81087,0.77818,2.0141,0.07629
Abj,1264,1739358917761,-0.33799,-3.81954,8.49572,-0.50353,10.2536,-1.26644
Abj,1265,1739358917784,-0.11515,-2.3991,9.6697,-4.95896,8.4226,-1.14438
Abj,1266,1739358917798,-0.25155,-2.3007,9.83959,-5.75239,12.57287,-0.22888
Abj,1267,1739358917806,-0.28504,-3.07687,9.32453,-3.55519,2.31927,-0.41198
Abj,1268,1739358917822,-0.28504,-3.07687,9.32453,-0.93076,1.2817,-0.04578
Abj,1269,1739358917839,-0.32094,-2.72961,9.77977,-3.31106,-3.72303,0.32043
Abj,1270,1739358917855,-0.28983,-3.12473,9.8683,-2.33453,-10.0705,0.80869
Abj,1271,1739358917877,-0.39781,-3.52732,9.14985,-1.66316,-41.25092,0.07629
Abj,1272,1739358917893,0.34008,-2.59771,9.08256,-0.25939,-1.2817,-5.90498
Abj,1273,1739358917905,-0.69482,-3.74297,9.11635,-2.51763,-7.62917,0.80869
