ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1251,1739358069292,-3.417,-1.92405,13.81695,-8.21693,13.77892,3.58457
HS,1252,1739358069309,2.14695,-3.51795,8.84505,-3.59245,14.82672,4.56146
HS,1253,1739358069323,-0.75405,-3.504,6.28995,3.19854,-12.75476,5.33352
HS,1254,1739358069340,-2.12805,-2.98005,10.815,4.03362,-2.32406,5.54623
HS,1255,1739358069358,-3.77805,-1.70595,8.29095,1.16597,5.02627,6.94855
HS,1256,1739358069374,-3.77805,-1.70595,8.29095,1.30778,-4.77417,5.47533
HS,1257,1739358069391,-0.71805,-2.21805,12.321,-9.96588,10.97429,3.65547
HS,1258,1739358069407,-1.98195,0.34005,10.839,-8.21693,19.93965,5.40442
HS,1259,1739358069425,0.97605,-5.49405,6.642,-2.89129,-2.45799,4.91598
HS,1260,1739358069441,0.29805,-3.05595,6.49305,3.12763,-0.92175,4.07301
HS,1261,1739358069458,0.933,1.05405,12.18705,-9.19382,-16.39447,-0.40179
HS,1262,1739358069474,-0.62505,-0.324,8.349,-1.9144,16.37084,3.93121
HS,1263,1739358069491,-3.32805,-2.154,8.40195,-0.51208,10.97429,3.44276
HS,1264,1739358069507,-3.32805,-2.154,8.40195,-6.18436,-20.52263,0.71691
HS,1265,1739358069524,0.31005,-0.585,11.99295,-6.67281,-8.83143,0.5042
HS,1266,1739358069541,0.978,-2.01,8.79705,2.49738,9.43805,-0.05515
HS,1267,1739358069557,-2.631,-2.13,9.29505,1.44958,-0.70904,1.83561
HS,1268,1739358069573,0.63105,0.642,8.586,-0.44118,1.31565,-1.24475
HS,1269,1739358069591,-0.18705,-2.04795,6.441,-2.75736,10.97429,0.5042
HS,1270,1739358069607,-0.37305,-1.12395,8.96895,-2.26103,9.0205,-1.24475
HS,1271,1739358069624,-0.37305,-1.12395,8.96895,-3.1749,17.56044,-1.875
HS,1272,1739358069640,-0.048,-2.27805,10.59195,3.19854,10.28101,-1.31565
HS,1273,1739358069656,1.692,-3.28395,8.29095,2.42648,11.32881,-3.13551
HS,1274,1739358069667,-1.446,-1.09095,9.89595,5.22323,10.28101,-1.7332
HS,1275,1739358069679,-1.446,-1.09095,9.89595,1.79622,7.26367,-3.06461
HS,1276,1739358069695,-2.42295,-2.47695,9.26595,2.35557,0.19695,-2.08771
HS,1277,1739358069712,-0.93105,-2.80995,7.35495,9.42229,-5.40442,-2.43435
HS,1278,1739358069733,1.00695,-0.813,10.41795,6.2789,-5.47533,-4.88447
HS,1279,1739358069750,-1.47495,-2.601,8.67195,5.99529,3.90757,-2.71797
HS,1280,1739358069770,-2.66505,-0.71205,8.92395,8.5163,-2.95431,-1.94591
