ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1751,1739352606337,-1.05404,-2.66261,10.4674,-3.31106,-0.12207,-1.87678
Abj,1752,1739352606355,-1.27448,-2.88036,9.34367,3.95191,-1.03757,-2.48711
Abj,1753,1739352606371,-1.27448,-2.88036,9.34367,0.10681,-2.5634,-2.24298
Abj,1754,1739352606386,-0.92243,-2.30309,10.79791,1.32748,-1.34273,-3.15848
Abj,1755,1739352606398,-0.98704,-1.94865,9.72952,1.08334,-0.9155,-1.93781
Abj,1756,1739352606412,-0.37388,-1.51735,10.23261,-3.98243,0.24413,-2.79228
Abj,1757,1739352606429,-0.37388,-1.51735,10.23261,-3.86036,-1.58687,-2.85331
Abj,1758,1739352606446,-0.65414,-2.83968,9.57608,1.87678,1.15963,-2.79228
Abj,1759,1739352606463,-0.68764,-3.16541,9.80369,-0.74766,0,-2.60918
Abj,1760,1739352606483,-0.68046,-2.00608,10.58226,-1.05283,1.15963,-2.36504
Abj,1761,1739352606495,-0.69242,-2.07069,10.05285,-1.11386,0.06103,-2.42608
Abj,1762,1739352606512,-0.44566,-3.04337,9.5019,0.83921,1.4648,-0.96128
Abj,1763,1739352606538,-0.46959,-2.44217,9.24317,3.03641,3.78407,-1.20541
Abj,1764,1739352606553,-0.46959,-2.44217,9.24317,2.18194,-1.52583,-1.32748
Abj,1765,1739352606571,-0.92961,-2.20259,9.45644,2.12091,-0.06103,-0.22888
Abj,1766,1739352606586,-1.133,-1.91276,9.25992,2.30401,-0.3662,-1.51058
Abj,1767,1739352606599,-0.5007,-1.80957,9.72952,-5.56929,1.6479,-0.83921
Abj,1768,1739352606612,-1.11864,-2.27199,9.05863,-1.11386,-1.0986,-1.93781
Abj,1769,1739352606630,-1.11864,-2.27199,9.05863,-1.29696,2.62443,-1.32748
Abj,1770,1739352606646,-0.77139,-2.51635,9.14985,-1.11386,-0.24413,-2.05988
Abj,1771,1739352606665,-1.09232,-2.85882,9.66491,1.75471,0.79343,-2.12091
Abj,1772,1739352606684,-0.81446,-2.43739,10.26611,0.83921,-0.30517,-2.42608
Abj,1773,1739352606696,-0.8671,-2.27677,10.0002,2.60918,-2.31927,-2.48711
Abj,1774,1739352606722,-0.99182,-2.10658,10.25175,-0.32043,-0.5493,-2.79228
Abj,1775,1739352606734,-0.66132,-2.90668,9.54018,1.08334,-0.97653,-3.28054
Abj,1776,1739352606749,-0.66132,-2.90668,9.54018,4.62328,2.13617,-2.91434
