ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1751,1739351973664,0.51835,-2.22742,9.16122,2.38412,-46.48453,224.36244
Ak,1752,1739351973684,-0.36221,-2.02881,10.57777,1.75852,-46.0573,206.06006
Ak,1753,1739351973692,0.20967,-3.01226,9.70678,2.08658,-44.21104,193.97545
Ak,1754,1739351973708,-0.32393,-1.7321,10.47249,-1.27789,-38.55019,166.70117
Ak,1755,1739351973730,0.50877,-1.99531,9.62782,-1.7776,-30.90195,135.10878
Ak,1756,1739351973745,0.50877,-1.99531,9.62782,-1.66316,-28.04101,120.09839
Ak,1757,1739351973764,-0.0679,-2.39013,9.62064,-2.06369,-22.21996,96.03217
Ak,1758,1739351973780,-0.1325,-1.46172,9.79771,-1.4114,-17.37543,74.45689
Ak,1759,1739351973793,0.53988,-1.94985,9.57279,-0.80106,-15.49866,67.20535
Ak,1760,1739351973815,-0.30239,-2.50259,9.60629,0.3395,-12.75597,54.70496
Ak,1761,1739351973831,0.28385,-1.54786,9.92692,1.70893,-10.81435,45.48892
Ak,1762,1739351973846,0.37717,-2.37577,9.66611,2.49855,-12.35544,47.11775
Ak,1763,1739351973862,0.37717,-2.37577,9.66611,0.30898,-17.07027,62.12052
Ak,1764,1739351973883,0.35563,-2.24895,9.74507,0.49971,-20.46143,60.0225
Ak,1765,1739351973896,-0.07747,-1.17936,9.74028,0.25176,-18.5427,59.1375
Ak,1766,1739351973911,-0.26411,-1.59093,9.62543,1.19015,-15.29267,50.57376
Ak,1767,1739351973931,0.17139,-1.62203,9.501,2.03699,-12.28678,43.67318
Ak,1768,1739351973948,0.17139,-1.62203,9.501,3.10126,-11.10044,40.1485
Ak,1769,1739351973961,0.04696,-1.79193,9.32154,4.83689,-7.55288,36.16226
Ak,1770,1739351973976,-0.13729,-0.85394,9.98674,6.04993,-5.24887,32.64903
Ak,1771,1739351973995,0.42981,-2.07906,9.49143,10.23072,1.12912,24.21498
Ak,1772,1739351974014,0.18096,-1.2009,9.86232,10.32227,3.81458,24.57737
Ak,1773,1739351974028,-0.08704,-1.45932,10.2332,10.21164,3.65056,24.39427
Ak,1774,1739351974048,0.24317,-1.57179,9.61107,6.9578,2.01029,33.061
Ak,1775,1739351974064,0.24317,-1.57179,9.61107,6.08045,-0.40053,39.06898
Ak,1776,1739351974084,0.59013,-0.9329,9.64936,6.55727,-1.63264,43.85247
Ak,1777,1739351974096,0.74327,-1.19611,9.9006,7.31637,-2.34216,45.28675
Ak,1778,1739351974113,0.22164,-1.78235,9.67568,7.90763,-4.3677,47.75479
Ak,1779,1739351974132,0.13071,-0.93051,10.09681,8.66292,-6.03467,44.40939
Ak,1780,1739351974146,0.09721,-2.05035,9.15644,8.81169,-6.69841,43.13914
Ak,1781,1739351974164,0.09721,-2.05035,9.15644,6.30551,-7.12946,41.42639
Ak,1782,1739351974180,-0.34307,-1.1339,9.85753,4.72627,-4.87885,36.65435
Ak,1783,1739351974194,-0.22343,-2.01924,9.68764,4.1846,-4.98566,32.52697
Ak,1784,1739351974210,0.35085,-1.36122,9.82403,2.86094,-3.96335,27.70151
