ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,12251,1742632392824,0.29192,-2.668,10.57089,-6.7548,-10.98968,-9.13473
Gar,12252,1742632392831,0.4331,-3.28116,7.8664,-2.62492,8.95974,-6.8248
Gar,12253,1742632392839,0.4331,-3.28116,7.8664,3.74489,-8.53975,-4.65486
Gar,12254,1742632392849,0.31226,-1.23051,11.55554,3.88489,-7.97977,-5.00485
Gar,12255,1742632392855,0.31226,-1.23051,11.55554,1.29496,-8.95974,-4.93485
Gar,12256,1742632392864,0.31226,-1.23051,11.55554,-2.90491,-7.13979,-5.56484
Gar,12257,1742632392874,0.18185,-2.36471,9.52044,0.105,-6.8598,-5.07485
Gar,12258,1742632392881,0.18185,-2.36471,9.52044,-0.94497,-6.36981,-5.35484
Gar,12259,1742632392891,-0.43669,-1.70668,9.55693,1.78495,-3.98988,-5.49484
Gar,12260,1742632392899,-0.43669,-1.70668,9.55693,0.38499,-8.67974,-3.5349
Gar,12261,1742632392908,-0.2656,-0.64666,10.91785,2.13494,-9.23973,-2.97491
Gar,12262,1742632392915,-0.2656,-0.64666,10.91785,-2.48493,-13.92959,-2.83492
Gar,12263,1742632392923,0.82493,-2.24327,7.86461,-4.51487,-7.27979,-2.90491
Gar,12264,1742632392932,0.82493,-2.24327,7.86461,-2.90491,-0.07,-3.2549
Gar,12265,1742632392940,0.82493,-2.24327,7.86461,-1.92494,-2.72992,-1.78495
Gar,12266,1742632392948,-0.29791,-1.81555,10.2341,-0.17499,-14.69957,-1.15497
Gar,12267,1742632392958,-0.29791,-1.81555,10.2341,-4.51487,-8.25976,-0.66498
Gar,12268,1742632392964,0.32423,-1.59183,10.36212,-2.55492,-6.43981,-0.59498
Gar,12269,1742632392974,0.32423,-1.59183,10.36212,-3.67489,-7.27979,-0.38499
Gar,12270,1742632392983,-0.05384,-2.01835,7.32682,-0.45499,4.05988,-1.71495
Gar,12271,1742632392991,-0.05384,-2.01835,7.32682,-0.59498,-1.39996,-1.57495
Gar,12272,1742632392999,-0.05384,-2.01835,7.32682,2.55492,-5.38984,-0.24499
Gar,12273,1742632393007,-0.14656,-1.41057,9.29671,2.62492,-8.11976,1.22496
Gar,12274,1742632393015,-0.14656,-1.41057,9.29671,-0.87497,-13.6496,1.29496
Gar,12275,1742632393025,0.12203,-2.31745,10.08156,-2.13494,-9.58972,1.08497
Gar,12276,1742632393032,0.12203,-2.31745,10.08156,-5.70483,-15.60954,1.78495
Gar,12277,1742632393041,0.29791,-1.84128,9.91885,-7.03479,-3.4299,0.105
Gar,12278,1742632393049,0.29791,-1.84128,9.91885,-3.67489,-5.24985,2.27493
Gar,12279,1742632393058,0.29791,-1.84128,9.91885,5.70483,-5.24985,2.62492
Gar,12280,1742632393065,0.35593,-1.70309,6.93978,-0.38499,7.13979,1.99494
Gar,12281,1742632393074,0.35593,-1.70309,6.93978,-1.99494,-1.53995,2.83492
Gar,12282,1742632393083,-0.38943,-0.62273,11.31626,3.3949,-5.24985,4.86486
Gar,12283,1742632393090,-0.38943,-0.62273,11.31626,-2.97491,-11.82965,5.98482
Gar,12284,1742632393100,-0.38943,-0.62273,11.31626,-4.30487,-4.54987,3.81489
Gar,12285,1742632393112,0.05982,-3.50549,8.42034,-3.3949,-5.45984,5.00485
Gar,12286,1742632393120,0.15613,-3.39661,5.91027,3.11491,8.32975,0.73498
Gar,12287,1742632393127,0.15613,-3.39661,5.91027,4.79486,12.59963,1.57495
Gar,12288,1742632393134,0.15613,-3.39661,5.91027,4.58487,1.25996,2.76492
Gar,12289,1742632393142,-1.08694,2.07278,14.86601,8.15476,-6.50981,6.54481
Gar,12290,1742632393153,-1.08694,2.07278,14.86601,-1.71495,-10.91968,6.7548
Gar,12291,1742632393160,0.32004,-2.8014,8.62672,-4.86486,-5.87983,3.67489
Gar,12292,1742632393167,0.32004,-2.8014,8.62672,-8.22476,-15.39955,4.65486
Gar,12293,1742632393175,0.32004,-2.8014,8.62672,-7.59478,-0.90997,2.83492
Gar,12294,1742632393186,-0.12263,-2.48854,8.4682,-0.87497,-8.53975,4.58487
Gar,12295,1742632393193,-0.12263,-2.48854,8.4682,4.30487,2.58992,6.54481
Gar,12296,1742632393200,0.32303,-2.2337,9.28355,4.65486,3.07991,6.33481
Gar,12297,1742632393209,0.32303,-2.2337,9.28355,0.31499,-3.70989,4.72486
