ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1751,1739351973154,1.13505,-0.14505,9.89295,9.49319,-4.99476,23.10667
HS,1752,1739351973163,1.13505,-0.14505,9.89295,8.23269,-3.80516,23.03577
HS,1753,1739351973171,2.55705,-0.74205,10.35495,7.81514,-5.13657,23.59512
HS,1754,1739351973190,2.55705,-0.74205,10.35495,4.24633,3.12763,21.28681
HS,1755,1739351973214,0.55095,-3.15705,10.29795,6.06619,-4.01787,21.0741
HS,1756,1739351973227,0.55095,-3.15705,10.29795,6.41283,6.76735,21.84616
HS,1757,1739351973240,3.14895,-1.50105,11.07405,0.60662,-10.73795,20.51475
HS,1758,1739351973256,-0.39405,-3.50895,8.84205,9.21746,-10.31252,21.0741
HS,1759,1739351973271,1.27605,-0.03105,9.72795,12.22692,0.88235,17.85193
HS,1760,1739351973286,1.27605,-0.03105,9.72795,9.91862,-14.37766,19.60089
HS,1761,1739351973302,2.27205,0.84195,10.30305,10.26525,-0.72479,15.96117
HS,1762,1739351973317,0.52005,-1.16295,7.85595,7.11399,-11.08459,16.80413
HS,1763,1739351973333,3.62295,-0.22905,11.78895,5.22323,2.56828,16.59143
HS,1764,1739351973348,1.00095,0.01395,9.654,-2.61555,-9.19382,16.80413
HS,1765,1739351973365,1.00095,0.01395,9.654,0.2521,-5.4123,15.96117
HS,1766,1739351973380,3.096,-1.692,9.97905,0.2521,6.69644,17.07987
HS,1767,1739351973395,1.05795,-1.09395,9.9,-1.49685,-5.3414,19.74269
HS,1768,1739351973407,4.626,-2.34795,12.31905,-3.104,1.93803,19.11244
HS,1769,1739351973421,4.626,-2.34795,12.31905,-3.38761,-4.99476,21.34984
HS,1770,1739351973434,2.358,-1.28805,10.767,-4.2227,-3.104,21.34984
HS,1771,1739351973451,0.56295,-1.86495,11.03295,-4.1518,-0.65389,22.1928
HS,1772,1739351973463,1.65705,-3.07605,10.611,-3.0331,-0.30725,22.33461
HS,1773,1739351973472,1.65705,-3.07605,10.611,-0.02363,3.89182,22.47642
HS,1774,1739351973483,0.759,-2.796,9.33495,1.02416,3.05673,22.26371
HS,1775,1739351973499,0.759,-2.796,9.33495,2.91492,2.49738,21.91707
HS,1776,1739351973513,1.437,-1.431,9.28305,2.35557,0.74843,21.70436
HS,1777,1739351973525,1.69005,-2.05395,9.76395,0.81933,-4.08089,22.26371
HS,1778,1739351973539,1.70505,-1.60395,8.847,2.49738,-2.33194,22.54732
HS,1779,1739351973554,1.70505,-1.60395,8.847,0.39391,-4.2227,22.1928
