ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,1751,1739351973808,0.0338,-1.92084,9.49891,-13.55322,-4.95896,21.34642
RV,1752,1739351973825,-0.14327,-2.52862,9.55155,-10.08576,-4.74534,16.56293
RV,1753,1739351973842,0.64875,-2.15294,9.37209,-11.72603,-7.68639,23.55125
RV,1754,1739351973866,0.26112,-1.89212,9.92962,-9.53646,-10.81816,27.17129
RV,1755,1739351973881,0.44776,-3.24168,9.88894,-8.29672,-13.02299,30.61586
RV,1756,1739351973895,0.27787,-3.09332,9.67598,-8.15558,-16.62778,39.38559
RV,1757,1739351973913,0.27787,-3.09332,9.67598,-9.95225,-18.31382,45.40119
RV,1758,1739351973930,0.20847,-2.54776,9.99422,-10.8792,-19.28654,47.00713
RV,1759,1739351973945,0.37597,-2.41376,9.75255,-14.48016,-21.29683,51.56556
RV,1760,1739351973956,0.51954,-3.09571,9.65923,-14.71285,-22.07119,51.1307
RV,1761,1739351973985,0.08644,-1.55474,9.59941,-17.08934,-22.63193,52.61457
RV,1762,1739351973992,0.56501,-1.00678,9.65444,-16.96727,-22.06737,50.72635
RV,1763,1739351974005,0.56501,-1.00678,9.65444,-12.00831,-16.18528,37.83305
RV,1764,1739351974025,-0.20548,-2.0333,9.24766,-6.80903,-10.4367,26.17187
RV,1765,1739351974041,-0.46391,-2.89472,10.32922,0.89643,-5.13062,11.06611
RV,1766,1739351974058,0.55304,-3.0,9.70708,5.76002,-0.91169,0.2098
RV,1767,1739351974074,0.94786,-3.41875,9.42234,7.2973,2.63969,-4.41347
RV,1768,1739351974092,0.94786,-3.41875,9.42234,3.55519,0.7858,3.10126
RV,1769,1739351974115,-0.58355,-2.60997,10.94896,3.44838,1.91874,0.93076
RV,1770,1739351974131,0.39033,-3.23211,9.97269,2.04462,1.64027,-0.41198
RV,1771,1739351974144,0.7349,-3.50967,9.27637,-8.24332,-5.13062,19.56882
RV,1772,1739351974160,0.57936,-1.80359,10.06361,-14.67852,-9.58987,33.9231
RV,1773,1739351974178,0.36879,-3.32782,9.3362,-16.71551,-12.41647,39.98066
RV,1774,1739351974199,-0.45434,-2.77508,9.55394,-12.75597,-15.77712,36.63146
RV,1775,1739351974210,-0.45434,-2.77508,9.55394,-12.75597,-15.77712,36.63146
RV,1776,1739351974225,0.34726,-2.88754,10.00619,-8.70488,-12.32111,27.75492
RV,1777,1739351974239,0.766,-1.8993,9.48455,-8.12125,-13.69436,30.03223
RV,1778,1739351974257,1.06032,-2.69133,9.61137,-8.36538,-14.18644,32.3019
RV,1779,1739351974275,0.72532,-3.08136,9.45584,-5.16113,-12.63772,29.8949
RV,1780,1739351974292,0.72532,-3.08136,9.45584,-3.41024,-12.03883,30.47091
RV,1781,1739351974309,0.766,-3.39003,9.61855,-3.54375,-14.11015,34.50292
RV,1782,1739351974325,0.66311,-1.90409,9.41037,-2.88001,-14.17881,33.4768
RV,1783,1739351974351,-0.12652,-2.53819,9.42473,-1.37707,-17.03212,32.54222
RV,1784,1739351974368,-0.4663,-2.8995,9.44387,-0.24413,-13.97282,27.49934
RV,1785,1739351974383,-0.12891,-3.05743,9.38645,0.55311,-8.11744,20.7666
RV,1786,1739351974397,-0.4017,-3.05982,9.40559,0.37764,-7.78175,20.31266
RV,1787,1739351974411,-0.4017,-3.05982,9.40559,-1.92255,0.53404,16.39127
RV,1788,1739351974427,0.2324,-3.45942,9.96551,-1.8844,9.50976,7.94578
